MongoDB shell version: 2.4.5
connecting to: localhost:27017/futura
chiyaoya	usc	1	0	0	0	1	2	5	0	4	0	undefined
bollampa	usc	1	0	0	0	2	NaN	3	0	7	1	3.61
agar888	usc	1	2	17	4	2	7	6	0	0	0	undefined
yanniwan	usc	1	1	8	1	0	0	0	0	7	0	undefined
pavansha	usc	1	0	0	0	2	8	4	0	8	0	3.85
abajwa	usc	1	0	0	0	3	NaN	11	0	7	2	undefined
ghodke	usc	1	0	0	0	0	0	0	0	8	0	3.8
akshirsa	usc	1	0	0	0	1	10	7	0	8	0	3.66
zhuoqiwa	usc	1	0	0	0	1	4	1	0	5	4	3.61
chandanp	usc	1	1	3	3	1	NaN	5	0	9	0	undefined
junjianw	usc	1	0	0	0	1	NaN	4	0	1	0	3.65
yang295	usc	1	0	0	0	2	18	4	0	7	4	3.74
yunushas	usc	1	1	24	9	3	15	18	0	6	0	4
vmanchan	usc	1	2	44	4	2	8	5	0	5	4	3.25
manglik	usc	0	0	0	0	0	0	0	0	0	0	3.6
gmatharu	usc	0	0	0	0	0	0	0	0	0	0	undefined
madhava	usc	1	1	36	4	0	0	0	0	3	0	undefined
deopujar	usc	1	4	34	11	1	3	3	0	6	0	3.29
harshvar	usc	1	1	24	7	2	7	8	0	7	0	3.5
pradeep	usc	0	0	0	0	0	0	0	0	0	0	3.81
shefalik	usc	1	2	13	10	1	NaN	8	1	6	0	undefined
weixiaol	usc	1	0	0	0	2	NaN	3	0	5	0	4
neminsha	usc	1	0	0	0	0	0	0	0	1	2	3.5
mohindra	usc	1	0	0	0	2	NaN	5	0	6	0	3.5
bloznalisd	usc	0	0	0	0	0	0	0	0	0	0	undefined
yerunkar	usc	1	0	0	0	1	10	6	0	1	4	undefined
asmita925	usc	1	1	19	2	1	7	2	0	10	4	3.53
yellapra	usc	1	0	0	0	3	NaN	7	0	9	4	3.61
jungyouk	usc	1	3	64	3	3	NaN	8	4	0	6	3.81
rattanpriya	usc	1	2	13	5	3	NaN	9	3	8	0	4
arpitban	usc	1	1	27	5	0	0	0	0	6	0	undefined
snehalde	usc	1	2	32	7	1	2	6	0	4	0	3.9
mkale	usc	1	0	0	0	1	2	3	0	6	4	3.7
ssachida	usc	0	1	11	2	2	7	8	0	6	0	undefined
cemclaug	usc	0	2	2	5	1	2	3	0	2	5	
uheda	usc	0	0	0	0	2	3	0	0	5	6	3.22
xiangyu.zhang	usc	0	0	0	0	0	0	0	0	0	0	3.78
